ds,y,medicine_name,price_per_unit,marketing_spend,competitor_price,promotion_flag,is_holiday,description,medicine_id
2022-04-26,284,ASCORBIC ACID,6.55 ,8085.00 ,10.75,1,0,"100MG/5ML, 60ML SYRUP",721058
2022-04-28,204,AZITHROMYCIN,40.61 ,1535.00 ,40.10,0,1,500 MG VIAL,320451
2022-04-28,135,ACETAZOLAMIDE,43.58 ,9882.00 ,5.81,0,0,250MG TABLET,678023
2022-04-30,176,ACETYLCYSTEINE,9.48 ,15713.00 ,33.77,1,0,600MG TABLET,489074
2022-05-02,170,ACICLOVIR,30.47 ,15356.00 ,34.65,0,1,400 MG TABLET,187688
2022-05-08,142,AMIKACIN,10.04 ,12770.00 ,46.45,1,0,100MG/2ML VIAL,777576
2022-05-08,184,ALL-IN-ONE ADMIXTURES,13.05 ,18799.00 ,17.77,0,0,"1,400 KCAL",881744
2022-05-10,212,ALLOPURINOL,14.16 ,18862.00 ,25.25,1,0,100MG TABLET,791246
2022-05-14,115,AMOXICILLIN,41.30 ,19355.00 ,24.54,0,0,500 MG CAPSULE,759303
2022-05-15,221,ARIPIPRAZOLE,12.55 ,11604.00 ,26.61,0,0,15MG TABLET,756789
2022-05-15,222,ASCORBIC ACID,42.98 ,15385.00 ,45.97,1,0,"100MG/5ML, 60ML SYRUP",721058
2022-05-18,184,AZITHROMYCIN,40.35 ,14830.00 ,28.94,0,1,500 MG VIAL,320451
2022-05-22,71,ACETAZOLAMIDE,27.24 ,4786.00 ,21.71,0,0,250MG TABLET,678023
2022-05-22,188,ACETYLCYSTEINE,31.83 ,10307.00 ,35.84,0,1,600MG TABLET,489074
2022-05-24,127,ACICLOVIR,14.75 ,11378.00 ,35.28,1,1,400 MG TABLET,187688
2022-05-25,145,AMIKACIN,35.25 ,10542.00 ,31.53,1,0,100MG/2ML VIAL,777576
2022-05-27,37,ALL-IN-ONE ADMIXTURES,40.82 ,13852.00 ,33.48,1,1,"1,400 KCAL",881744
2022-05-29,251,ALLOPURINOL,26.43 ,6380.00 ,12.78,0,0,100MG TABLET,791246
2022-05-29,68,AMOXICILLIN,12.18 ,3691.00 ,36.66,1,0,500 MG CAPSULE,759303
2022-06-02,294,ARIPIPRAZOLE,31.59 ,15913.00 ,6.76,0,1,15MG TABLET,756789
2022-06-04,157,ASCORBIC ACID,26.08 ,8163.00 ,9.64,1,1,"100MG/5ML, 60ML SYRUP",721058
2022-06-05,172,AZITHROMYCIN,9.04 ,4549.00 ,33.01,0,1,500 MG VIAL,320451
2022-06-05,12,ACETAZOLAMIDE,46.34 ,10222.00 ,8.33,0,1,250MG TABLET,678023
2022-06-05,171,ACETYLCYSTEINE,17.70 ,8007.00 ,24.60,0,0,600MG TABLET,489074
2022-06-06,189,ACICLOVIR,44.66 ,18844.00 ,18.54,1,0,400 MG TABLET,187688
2022-06-06,24,AMIKACIN,28.90 ,11562.00 ,37.63,0,0,100MG/2ML VIAL,777576
2022-06-10,231,ALL-IN-ONE ADMIXTURES,22.88 ,6995.00 ,16.24,1,1,"1,400 KCAL",881744
2022-06-10,141,ALLOPURINOL,19.57 ,12349.00 ,28.46,1,1,100MG TABLET,791246
2022-06-14,15,AMOXICILLIN,36.93 ,19980.00 ,6.64,1,1,500 MG CAPSULE,759303
2022-06-18,130,ARIPIPRAZOLE,49.28 ,6998.00 ,11.26,1,1,15MG TABLET,756789
2022-06-19,298,ASCORBIC ACID,34.08 ,3676.00 ,20.05,0,1,"100MG/5ML, 60ML SYRUP",721058
2022-06-19,26,AZITHROMYCIN,24.97 ,7622.00 ,38.59,1,0,500 MG VIAL,320451
2022-06-20,261,ACETAZOLAMIDE,7.33 ,1990.00 ,47.47,0,1,250MG TABLET,678023
2022-06-22,239,ACETYLCYSTEINE,47.59 ,16352.00 ,42.43,1,1,600MG TABLET,489074
2022-06-22,219,ACICLOVIR,25.42 ,15709.00 ,16.66,0,0,400 MG TABLET,187688
2022-06-30,177,AMIKACIN,30.33 ,7231.00 ,39.85,1,0,100MG/2ML VIAL,777576
2022-06-30,103,ALL-IN-ONE ADMIXTURES,16.82 ,13757.00 ,12.22,0,1,"1,400 KCAL",881744
2022-07-08,179,ALLOPURINOL,27.50 ,4263.00 ,46.93,1,0,100MG TABLET,791246
2022-07-09,177,AMOXICILLIN,12.31 ,10644.00 ,16.98,1,1,500 MG CAPSULE,759303
2022-07-10,50,ARIPIPRAZOLE,9.97 ,7037.00 ,46.06,0,1,15MG TABLET,756789
2022-07-12,104,ASCORBIC ACID,7.86 ,14738.00 ,39.46,0,1,"100MG/5ML, 60ML SYRUP",721058
2022-07-15,191,AZITHROMYCIN,30.61 ,1099.00 ,8.10,1,0,500 MG VIAL,320451
2022-07-16,232,ACETAZOLAMIDE,46.73 ,5040.00 ,49.54,0,0,250MG TABLET,678023
2022-07-16,35,ACETYLCYSTEINE,48.73 ,14408.00 ,49.45,1,0,600MG TABLET,489074
2022-07-17,179,ACICLOVIR,28.33 ,15793.00 ,27.79,0,0,400 MG TABLET,187688
2022-07-27,167,AMIKACIN,46.06 ,15884.00 ,39.13,1,1,100MG/2ML VIAL,777576
2022-08-05,172,ALL-IN-ONE ADMIXTURES,26.88 ,2694.00 ,7.59,0,0,"1,400 KCAL",881744
2022-08-07,178,ALLOPURINOL,21.21 ,19363.00 ,47.51,0,0,100MG TABLET,791246
2022-08-07,181,AMOXICILLIN,26.01 ,15807.00 ,12.81,1,0,500 MG CAPSULE,759303
2022-08-12,61,ARIPIPRAZOLE,20.92 ,16784.00 ,10.06,1,1,15MG TABLET,756789
2022-08-12,204,ASCORBIC ACID,16.93 ,13233.00 ,22.40,0,1,"100MG/5ML, 60ML SYRUP",721058
2022-08-13,235,AZITHROMYCIN,49.82 ,5679.00 ,11.24,1,1,500 MG VIAL,320451
2022-08-14,107,ACETAZOLAMIDE,9.70 ,3783.00 ,27.14,1,1,250MG TABLET,678023
2022-08-19,170,ACETYLCYSTEINE,47.53 ,8766.00 ,29.55,0,0,600MG TABLET,489074
2022-08-21,296,ACICLOVIR,7.87 ,1828.00 ,28.88,0,0,400 MG TABLET,187688
2022-08-21,119,AMIKACIN,36.44 ,8803.00 ,27.70,1,1,100MG/2ML VIAL,777576
2022-08-28,79,ALL-IN-ONE ADMIXTURES,29.43 ,1351.00 ,46.06,0,1,"1,400 KCAL",881744
2022-08-28,118,ALLOPURINOL,7.92 ,12330.00 ,15.26,1,1,100MG TABLET,791246
2022-08-29,159,AMOXICILLIN,35.90 ,7429.00 ,11.66,0,1,500 MG CAPSULE,759303
2022-09-01,129,ARIPIPRAZOLE,39.26 ,1058.00 ,47.22,0,0,15MG TABLET,756789
2022-09-03,132,ASCORBIC ACID,39.27 ,17210.00 ,40.41,0,1,"100MG/5ML, 60ML SYRUP",721058
2022-09-04,113,AZITHROMYCIN,39.41 ,4505.00 ,16.46,1,0,500 MG VIAL,320451
2022-09-04,82,ACETAZOLAMIDE,7.93 ,4155.00 ,48.93,0,1,250MG TABLET,678023
2022-09-18,158,ACETYLCYSTEINE,9.04 ,16311.00 ,43.95,0,1,600MG TABLET,489074
2022-09-18,97,ACICLOVIR,28.34 ,5625.00 ,28.17,1,1,400 MG TABLET,187688
2022-09-21,124,AMIKACIN,11.61 ,15950.00 ,6.86,1,0,100MG/2ML VIAL,777576
2022-10-02,271,ALL-IN-ONE ADMIXTURES,44.96 ,15037.00 ,7.31,1,0,"1,400 KCAL",881744
2022-10-06,190,ALLOPURINOL,13.29 ,3962.00 ,27.34,0,0,100MG TABLET,791246
2022-10-06,55,AMOXICILLIN,7.57 ,7294.00 ,30.95,0,0,500 MG CAPSULE,759303
2022-10-07,99,ARIPIPRAZOLE,28.39 ,17823.00 ,5.06,0,0,15MG TABLET,756789
2022-10-08,167,ASCORBIC ACID,25.30 ,11824.00 ,6.88,0,1,"100MG/5ML, 60ML SYRUP",721058
2022-10-09,226,AZITHROMYCIN,27.25 ,6576.00 ,32.85,0,1,500 MG VIAL,320451
2022-10-09,60,ACETAZOLAMIDE,47.47 ,13077.00 ,45.40,1,0,250MG TABLET,678023
2022-10-10,209,ACETYLCYSTEINE,30.82 ,5908.00 ,47.64,1,0,600MG TABLET,489074
2022-10-14,14,ACICLOVIR,31.04 ,8722.00 ,15.12,0,1,400 MG TABLET,187688
2022-10-15,65,AMIKACIN,10.32 ,15564.00 ,9.95,1,1,100MG/2ML VIAL,777576
2022-10-20,250,ALL-IN-ONE ADMIXTURES,16.73 ,15497.00 ,41.21,1,0,"1,400 KCAL",881744
2022-10-21,182,ALLOPURINOL,25.86 ,9448.00 ,43.94,0,1,100MG TABLET,791246
2022-10-22,183,AMOXICILLIN,10.72 ,18553.00 ,29.49,0,0,500 MG CAPSULE,759303
2022-10-23,36,ARIPIPRAZOLE,29.97 ,5141.00 ,14.20,0,0,15MG TABLET,756789
2022-10-25,210,ASCORBIC ACID,47.59 ,14079.00 ,22.00,0,0,"100MG/5ML, 60ML SYRUP",721058
2022-10-27,229,AZITHROMYCIN,49.40 ,13548.00 ,43.81,1,1,500 MG VIAL,320451
2022-10-27,12,ACETAZOLAMIDE,25.21 ,8005.00 ,16.73,0,0,250MG TABLET,678023
2022-10-29,268,ACETYLCYSTEINE,24.38 ,9579.00 ,24.13,0,0,600MG TABLET,489074
2022-10-30,174,ACICLOVIR,48.32 ,7309.00 ,35.07,1,0,400 MG TABLET,187688
2022-10-30,119,AMIKACIN,23.43 ,11187.00 ,37.07,0,1,100MG/2ML VIAL,777576
2022-10-30,146,ALL-IN-ONE ADMIXTURES,28.53 ,1178.00 ,30.45,1,0,"1,400 KCAL",881744
2022-11-02,216,ALLOPURINOL,7.61 ,12479.00 ,48.64,0,0,100MG TABLET,791246
2022-11-06,137,AMOXICILLIN,10.34 ,12253.00 ,35.10,1,0,500 MG CAPSULE,759303
2022-11-06,195,ARIPIPRAZOLE,20.03 ,16789.00 ,40.74,1,1,15MG TABLET,756789
2022-11-08,147,ASCORBIC ACID,13.98 ,11449.00 ,21.33,0,0,"100MG/5ML, 60ML SYRUP",721058
2022-11-11,244,AZITHROMYCIN,36.91 ,7225.00 ,16.80,1,0,500 MG VIAL,320451
2022-11-18,98,ACETAZOLAMIDE,19.86 ,5591.00 ,9.01,0,1,250MG TABLET,678023
2022-11-19,67,ACETYLCYSTEINE,30.58 ,16587.00 ,45.83,0,1,600MG TABLET,489074
2022-11-19,27,ACICLOVIR,46.73 ,5821.00 ,11.32,0,0,400 MG TABLET,187688
2022-11-20,238,AMIKACIN,6.51 ,18583.00 ,21.55,1,0,100MG/2ML VIAL,777576
2022-11-21,241,ALL-IN-ONE ADMIXTURES,8.32 ,8982.00 ,40.51,0,0,"1,400 KCAL",881744
2022-11-21,12,ALLOPURINOL,40.86 ,15191.00 ,37.56,1,1,100MG TABLET,791246
2022-11-22,73,AMOXICILLIN,10.91 ,7671.00 ,32.69,0,0,500 MG CAPSULE,759303
2022-11-22,195,ARIPIPRAZOLE,32.00 ,13143.00 ,29.58,1,1,15MG TABLET,756789
2022-11-23,192,ASCORBIC ACID,30.23 ,7696.00 ,43.66,1,0,"100MG/5ML, 60ML SYRUP",721058
2022-11-23,222,AZITHROMYCIN,39.83 ,7609.00 ,9.13,0,1,500 MG VIAL,320451
2022-11-25,22,ACETAZOLAMIDE,12.01 ,12055.00 ,38.17,0,0,250MG TABLET,678023
2022-11-27,30,ACETYLCYSTEINE,23.79 ,1551.00 ,26.82,0,0,600MG TABLET,489074
2022-11-27,197,ACICLOVIR,15.99 ,14696.00 ,10.52,1,1,400 MG TABLET,187688
2022-12-05,247,AMIKACIN,28.91 ,10661.00 ,5.15,1,0,100MG/2ML VIAL,777576
2022-12-08,260,ALL-IN-ONE ADMIXTURES,29.64 ,16237.00 ,40.93,1,0,"1,400 KCAL",881744
2022-12-10,119,ALLOPURINOL,28.24 ,3030.00 ,48.26,1,1,100MG TABLET,791246
2022-12-10,124,AMOXICILLIN,28.84 ,3492.00 ,38.84,1,1,500 MG CAPSULE,759303
2022-12-10,130,ARIPIPRAZOLE,16.90 ,9723.00 ,40.21,0,1,15MG TABLET,756789
2022-12-11,218,ASCORBIC ACID,41.71 ,5636.00 ,7.36,1,0,"100MG/5ML, 60ML SYRUP",721058
2022-12-11,18,AZITHROMYCIN,27.04 ,5079.00 ,39.81,0,0,500 MG VIAL,320451
2022-12-16,131,ACETAZOLAMIDE,25.49 ,9449.00 ,23.78,1,0,250MG TABLET,678023
2022-12-17,142,ACETYLCYSTEINE,7.32 ,2633.00 ,30.26,0,1,600MG TABLET,489074
2022-12-18,224,ACICLOVIR,38.77 ,14210.00 ,45.80,0,0,400 MG TABLET,187688
2022-12-22,171,AMIKACIN,47.68 ,19197.00 ,38.06,1,1,100MG/2ML VIAL,777576
2022-12-22,60,ALL-IN-ONE ADMIXTURES,5.78 ,13942.00 ,16.20,0,0,"1,400 KCAL",881744
2022-12-25,173,ALLOPURINOL,34.77 ,7748.00 ,23.74,1,0,100MG TABLET,791246
2022-12-30,257,AMOXICILLIN,15.87 ,2745.00 ,18.75,1,0,500 MG CAPSULE,759303
2023-01-04,145,ARIPIPRAZOLE,44.38 ,9160.00 ,44.02,1,0,15MG TABLET,756789
2023-01-05,240,ASCORBIC ACID,37.65 ,12511.00 ,39.28,0,0,"100MG/5ML, 60ML SYRUP",721058
2023-01-07,267,AZITHROMYCIN,42.02 ,17945.00 ,31.27,1,1,500 MG VIAL,320451
2023-01-12,153,ACETAZOLAMIDE,33.82 ,19513.00 ,6.41,0,0,250MG TABLET,678023
2023-01-13,43,ACETYLCYSTEINE,27.06 ,15062.00 ,40.64,1,0,600MG TABLET,489074
2023-01-17,13,ACICLOVIR,25.75 ,11092.00 ,49.89,1,0,400 MG TABLET,187688
2023-01-18,237,AMIKACIN,30.07 ,11526.00 ,9.67,0,0,100MG/2ML VIAL,777576
2023-01-19,80,ALL-IN-ONE ADMIXTURES,17.41 ,18189.00 ,18.95,1,0,"1,400 KCAL",881744
2023-01-20,214,ALLOPURINOL,39.90 ,8436.00 ,37.21,0,1,100MG TABLET,791246
2023-01-20,72,AMOXICILLIN,25.64 ,17413.00 ,8.34,0,0,500 MG CAPSULE,759303
2023-01-21,70,ARIPIPRAZOLE,15.87 ,14205.00 ,10.49,1,0,15MG TABLET,756789
2023-01-22,160,ASCORBIC ACID,31.85 ,10403.00 ,20.92,1,1,"100MG/5ML, 60ML SYRUP",721058
2023-01-22,108,AZITHROMYCIN,17.05 ,1248.00 ,49.02,1,0,500 MG VIAL,320451
2023-01-22,227,ACETAZOLAMIDE,8.68 ,13273.00 ,26.29,1,0,250MG TABLET,678023
2023-01-24,172,ACETYLCYSTEINE,28.53 ,8660.00 ,34.05,0,0,600MG TABLET,489074
2023-01-28,158,ACICLOVIR,49.78 ,15328.00 ,32.67,1,0,400 MG TABLET,187688
2023-01-29,180,AMIKACIN,16.56 ,11966.00 ,17.09,0,0,100MG/2ML VIAL,777576
2023-01-30,164,ALL-IN-ONE ADMIXTURES,46.14 ,11819.00 ,17.74,1,0,"1,400 KCAL",881744
2023-02-05,135,ALLOPURINOL,22.67 ,9709.00 ,6.69,0,0,100MG TABLET,791246
2023-02-05,93,AMOXICILLIN,20.84 ,17609.00 ,10.79,1,1,500 MG CAPSULE,759303
2023-02-07,294,ARIPIPRAZOLE,5.64 ,4150.00 ,49.70,1,0,15MG TABLET,756789
2023-02-13,155,ASCORBIC ACID,37.30 ,13548.00 ,22.59,1,0,"100MG/5ML, 60ML SYRUP",721058
2023-02-18,260,AZITHROMYCIN,23.33 ,3995.00 ,23.93,0,0,500 MG VIAL,320451
2023-02-18,87,ACETAZOLAMIDE,10.72 ,8062.00 ,6.51,1,0,250MG TABLET,678023
2023-02-20,286,ACETYLCYSTEINE,23.52 ,18856.00 ,24.61,0,1,600MG TABLET,489074
2023-02-20,38,ACICLOVIR,47.80 ,10339.00 ,27.77,0,0,400 MG TABLET,187688
2023-02-22,155,AMIKACIN,43.41 ,17034.00 ,9.89,0,0,100MG/2ML VIAL,777576
2023-02-24,149,ALL-IN-ONE ADMIXTURES,27.59 ,9549.00 ,30.66,0,0,"1,400 KCAL",881744
2023-02-26,230,ALLOPURINOL,5.32 ,3871.00 ,25.22,1,0,100MG TABLET,791246
2023-02-26,216,AMOXICILLIN,38.65 ,4299.00 ,43.47,0,0,500 MG CAPSULE,759303
2023-03-04,248,ARIPIPRAZOLE,25.42 ,18232.00 ,33.08,0,1,15MG TABLET,756789
2023-03-04,183,ASCORBIC ACID,26.54 ,18794.00 ,27.60,0,1,"100MG/5ML, 60ML SYRUP",721058
2023-03-05,62,AZITHROMYCIN,26.58 ,16176.00 ,31.24,1,1,500 MG VIAL,320451
2023-03-06,97,ACETAZOLAMIDE,15.08 ,1879.00 ,15.44,1,1,250MG TABLET,678023
2023-03-08,31,ACETYLCYSTEINE,29.99 ,13105.00 ,22.56,1,1,600MG TABLET,489074
2023-03-11,296,ACICLOVIR,20.08 ,1095.00 ,39.50,0,0,400 MG TABLET,187688
2023-03-12,30,AMIKACIN,6.35 ,7506.00 ,32.75,0,1,100MG/2ML VIAL,777576
2023-03-16,48,ALL-IN-ONE ADMIXTURES,23.71 ,2859.00 ,26.46,0,1,"1,400 KCAL",881744
2023-03-19,278,ALLOPURINOL,49.39 ,17093.00 ,26.43,0,1,100MG TABLET,791246
2023-03-19,169,AMOXICILLIN,6.48 ,11220.00 ,16.07,1,0,500 MG CAPSULE,759303
2023-03-21,275,ARIPIPRAZOLE,25.96 ,5496.00 ,39.14,1,0,15MG TABLET,756789
2023-03-24,287,ASCORBIC ACID,29.00 ,8204.00 ,41.07,1,0,"100MG/5ML, 60ML SYRUP",721058
2023-03-24,231,AZITHROMYCIN,22.16 ,11660.00 ,20.66,0,0,500 MG VIAL,320451
2023-03-26,109,ACETAZOLAMIDE,41.81 ,9171.00 ,14.91,1,0,250MG TABLET,678023
2023-03-27,176,ACETYLCYSTEINE,32.99 ,8004.00 ,33.18,0,0,600MG TABLET,489074
2023-03-30,217,ACICLOVIR,38.67 ,2434.00 ,46.02,1,1,400 MG TABLET,187688
2023-04-08,265,AMIKACIN,19.40 ,3912.00 ,33.08,1,0,100MG/2ML VIAL,777576
2023-04-08,83,ALL-IN-ONE ADMIXTURES,14.48 ,10546.00 ,29.62,0,0,"1,400 KCAL",881744
2023-04-08,129,ALLOPURINOL,22.41 ,13506.00 ,44.88,0,0,100MG TABLET,791246
2023-04-09,137,AMOXICILLIN,17.05 ,11369.00 ,43.70,0,1,500 MG CAPSULE,759303
2023-04-12,83,ARIPIPRAZOLE,18.08 ,15264.00 ,38.38,0,0,15MG TABLET,756789
2023-04-16,283,ASCORBIC ACID,49.52 ,14765.00 ,14.93,1,0,"100MG/5ML, 60ML SYRUP",721058
2023-04-18,218,AZITHROMYCIN,44.78 ,17953.00 ,40.24,0,1,500 MG VIAL,320451
2023-04-25,239,ACETAZOLAMIDE,13.47 ,3620.00 ,24.87,0,1,250MG TABLET,678023
2023-04-27,274,ACETYLCYSTEINE,34.29 ,1147.00 ,8.93,1,0,600MG TABLET,489074
2023-05-01,50,ACICLOVIR,12.85 ,5060.00 ,21.40,0,0,400 MG TABLET,187688
2023-05-05,223,AMIKACIN,34.01 ,14910.00 ,20.67,1,1,100MG/2ML VIAL,777576
2023-05-07,194,ALL-IN-ONE ADMIXTURES,18.35 ,12126.00 ,38.71,1,0,"1,400 KCAL",881744
2023-05-12,76,ALLOPURINOL,24.86 ,5176.00 ,38.47,1,1,100MG TABLET,791246
2023-05-13,288,AMOXICILLIN,22.91 ,13870.00 ,22.36,1,0,500 MG CAPSULE,759303
2023-05-14,51,ARIPIPRAZOLE,29.56 ,5953.00 ,20.12,1,0,15MG TABLET,756789
2023-05-16,114,ASCORBIC ACID,47.91 ,18720.00 ,24.29,0,1,"100MG/5ML, 60ML SYRUP",721058
2023-05-16,274,AZITHROMYCIN,41.50 ,18153.00 ,28.80,1,1,500 MG VIAL,320451
2023-05-19,157,ACETAZOLAMIDE,44.45 ,6986.00 ,14.75,0,0,250MG TABLET,678023
2023-05-21,174,ACETYLCYSTEINE,30.71 ,11402.00 ,6.96,1,0,600MG TABLET,489074
2023-05-25,257,ACICLOVIR,39.31 ,16560.00 ,45.39,0,1,400 MG TABLET,187688
2023-05-28,240,AMIKACIN,16.06 ,14140.00 ,12.36,0,0,100MG/2ML VIAL,777576
2023-05-28,23,ALL-IN-ONE ADMIXTURES,43.29 ,16698.00 ,6.32,0,1,"1,400 KCAL",881744
2023-05-28,30,ALLOPURINOL,45.64 ,8360.00 ,24.69,0,0,100MG TABLET,791246
2023-05-29,51,AMOXICILLIN,42.13 ,5737.00 ,8.83,1,1,500 MG CAPSULE,759303
2023-06-07,160,ARIPIPRAZOLE,27.21 ,6592.00 ,18.24,0,0,15MG TABLET,756789
2023-06-11,164,ASCORBIC ACID,41.02 ,3147.00 ,44.70,1,0,"100MG/5ML, 60ML SYRUP",721058
2023-06-11,196,AZITHROMYCIN,35.75 ,5486.00 ,34.62,1,1,500 MG VIAL,320451
2023-06-11,56,ACETAZOLAMIDE,12.86 ,18010.00 ,10.48,1,0,250MG TABLET,678023
2023-06-12,99,ACETYLCYSTEINE,25.77 ,11245.00 ,15.63,1,1,600MG TABLET,489074
2023-06-12,241,ACICLOVIR,40.16 ,17564.00 ,18.89,0,0,400 MG TABLET,187688
2023-06-14,19,AMIKACIN,9.13 ,9430.00 ,10.68,1,0,100MG/2ML VIAL,777576
2023-06-15,142,ALL-IN-ONE ADMIXTURES,25.40 ,18273.00 ,40.68,0,1,"1,400 KCAL",881744
2023-06-16,199,ALLOPURINOL,27.39 ,4239.00 ,33.21,1,1,100MG TABLET,791246
2023-06-18,213,AMOXICILLIN,34.11 ,6755.00 ,38.43,0,1,500 MG CAPSULE,759303
2023-06-22,12,ARIPIPRAZOLE,9.32 ,13891.00 ,19.03,0,1,15MG TABLET,756789
2023-06-25,56,ASCORBIC ACID,37.91 ,7956.00 ,13.40,0,0,"100MG/5ML, 60ML SYRUP",721058
2023-06-25,200,AZITHROMYCIN,20.45 ,3068.00 ,33.20,1,0,500 MG VIAL,320451
2023-06-27,279,ACETAZOLAMIDE,39.10 ,6651.00 ,29.38,0,0,250MG TABLET,678023
2023-06-28,277,ACETYLCYSTEINE,49.81 ,7087.00 ,26.44,0,1,600MG TABLET,489074
2023-07-01,35,ACICLOVIR,26.39 ,14715.00 ,29.02,0,0,400 MG TABLET,187688
